file,line,snippet,alias_documented_in_file
00-meta-initialization\README.md,18,# - ../project_context/methodology.md,False
00-meta-initialization\README.md,19,# - ../project_context/doc_roadmap.md,False
00-meta-initialization\README.md,20,# - ../project_context/project_profile.md,False
00-meta-initialization\README.md,38,- **`../project_context/methodology.md`**: Selected methodology with rationale,False
00-meta-initialization\README.md,39,- **`../project_context/doc_roadmap.md`**: Documentation execution plan,False
00-meta-initialization\README.md,40,- **`../project_context/project_profile.md`**: Project characteristics summary,False
00-meta-initialization\SKILL.md,32,- You've already run this skill and have `../project_context/methodology.md`,False
00-meta-initialization\SKILL.md,43,| Existing context files | `../project_context/` | Optional (will be detected) |,False
00-meta-initialization\SKILL.md,47,This skill creates/updates files in `../project_context/`:,False
00-meta-initialization\SKILL.md,97,- **../project_context/methodology.md** → Previous methodology selection,False
00-meta-initialization\SKILL.md,371,Check if `../project_context/` exists:,False
00-meta-initialization\SKILL.md,395,#### **File 1: `../project_context/methodology.md`**,False
00-meta-initialization\SKILL.md,399,#### **File 2: `../project_context/doc_roadmap.md`**,False
00-meta-initialization\SKILL.md,403,#### **File 3: `../project_context/project_profile.md`**,False
00-meta-initialization\SKILL.md,454,- [ ] `../project_context/methodology.md` exists and is populated,False
00-meta-initialization\SKILL.md,455,- [ ] `../project_context/doc_roadmap.md` exists with checklist,False
00-meta-initialization\SKILL.md,456,- [ ] `../project_context/project_profile.md` exists,False
01-strategic-vision\README.md,31,"Existing skill-local references to `../project_context/` and `../output/` are compatibility aliases into the active project workspace, not a second architecture",False
01-strategic-vision\01-prd-generation\README.md,9,1. Verify `../project_context/vision.md` and `../project_context/features.md` exist. Optionally check for `../output/Vision_Statement.md` to enrich the PRD.,False
01-strategic-vision\01-prd-generation\README.md,10,"2. Invoke `logic.prompt` or trigger the skill. The skill reads context files, generates all PRD sections, and writes `../output/PRD.md`.",False
01-strategic-vision\01-prd-generation\SKILL.md,23,- After the `03-vision-statement` skill has produced `Vision_Statement.md` in `../output/`.,False
01-strategic-vision\01-prd-generation\SKILL.md,24,- Directly after `00-meta-initialization` if the team is working without a formal vision document but has populated `vision.md` and `features.md` in `../project,False
01-strategic-vision\01-prd-generation\SKILL.md,30,"| **Inputs**  | `../project_context/vision.md`, `features.md`, `stakeholders.md`; optionally `../output/Vision_Statement.md` |",False
01-strategic-vision\01-prd-generation\SKILL.md,31,| **Output**  | `../output/PRD.md`                                                    |,False
01-strategic-vision\01-prd-generation\SKILL.md,39,"| vision.md             | `../project_context/vision.md`  | Yes      | Business goals, problem statement, constraints|",False
01-strategic-vision\01-prd-generation\SKILL.md,40,| features.md           | `../project_context/features.md`| Yes      | Feature list with descriptions                |,False
01-strategic-vision\01-prd-generation\SKILL.md,41,"| stakeholders.md       | `../project_context/stakeholders.md` | Yes | User roles, personas, stakeholder groups      |",False
01-strategic-vision\01-prd-generation\SKILL.md,42,| Vision_Statement.md   | `../output/Vision_Statement.md` | No       | Enriches executive summary and market context |,False
01-strategic-vision\01-prd-generation\SKILL.md,48,| PRD.md  | `../output/PRD.md`   | Complete Product Requirements Document with all sections |,False
01-strategic-vision\01-prd-generation\SKILL.md,56,"Read `vision.md`, `features.md`, and `stakeholders.md` from `../project_context/`. Optionally read `Vision_Statement.md` from `../output/`. Log every file path ",False
01-strategic-vision\01-prd-generation\SKILL.md,126,Write the completed document to `../output/PRD.md`. Log the total section count and feature count.,False
01-strategic-vision\02-business-case\README.md,9,1. Verify `../project_context/vision.md` exists. Optionally check for `../output/PRD.md` and `../output/Vision_Statement.md` to enrich the analysis.,False
01-strategic-vision\02-business-case\README.md,10,"2. Invoke `logic.prompt` or trigger the skill. The skill reads context files, generates financial analysis with LaTeX formulas, and writes `../output/Business_C",False
01-strategic-vision\02-business-case\SKILL.md,29,"| **Inputs**  | `../project_context/vision.md`, `../project_context/stakeholders.md`, optionally `../output/PRD.md`, `../output/Vision_Statement.md` |",False
01-strategic-vision\02-business-case\SKILL.md,30,| **Output**  | `../output/Business_Case.md`                                                          |,False
01-strategic-vision\02-business-case\SKILL.md,37,| `vision.md`         | `../project_context/vision.md`     | **Required** | Primary source for problem domain and goals   |,False
01-strategic-vision\02-business-case\SKILL.md,38,| `stakeholders.md`   | `../project_context/stakeholders.md` | **Required** | Identifies decision-makers and beneficiaries |,False
01-strategic-vision\02-business-case\SKILL.md,39,| `PRD.md`            | `../output/PRD.md`                 | Recommended  | Enriches solution description and timeline    |,False
01-strategic-vision\02-business-case\SKILL.md,40,| `Vision_Statement.md` | `../output/Vision_Statement.md`  | Optional     | Provides strategic alignment language         |,False
01-strategic-vision\02-business-case\SKILL.md,46,| `Business_Case.md`  | `../output/Business_Case.md`   | Complete business case with financial analysis |,False
01-strategic-vision\02-business-case\SKILL.md,176,- [ ] `Business_Case.md` exists in `../output/`.,False
01-strategic-vision\03-vision-statement\README.md,9,1. Verify `../project_context/vision.md` and `../project_context/stakeholders.md` exist and are populated. Halt if vision.md is missing.,False
01-strategic-vision\03-vision-statement\README.md,10,"2. Invoke `logic.prompt` or trigger the skill through your runner. The skill reads context files, synthesizes strategic sections, and writes `../output/Vision_S",False
01-strategic-vision\03-vision-statement\SKILL.md,23,- After 00-meta-initialization has produced `methodology.md` in `../project_context/`.,False
01-strategic-vision\03-vision-statement\SKILL.md,31,"| **Inputs** | `../project_context/vision.md`, `../project_context/stakeholders.md`, `../project_context/glossary.md` |",False
01-strategic-vision\03-vision-statement\SKILL.md,32,| **Output** | `../output/Vision_Statement.md` |,False
01-strategic-vision\03-vision-statement\SKILL.md,40,"| `../project_context/vision.md` | Yes | Problem statement, target users, business goals, constraints |",False
01-strategic-vision\03-vision-statement\SKILL.md,41,"| `../project_context/stakeholders.md` | Yes | Stakeholder roles, segments, goals, technical proficiency |",False
01-strategic-vision\03-vision-statement\SKILL.md,42,| `../project_context/glossary.md` | Recommended | Domain terminology per IEEE 610.12-1990 |,False
01-strategic-vision\03-vision-statement\SKILL.md,48,"| `../output/Vision_Statement.md` | Formal vision document with elevator pitch, positioning, value propositions, success criteria, and scope boundaries |",False
01-strategic-vision\03-vision-statement\SKILL.md,56,"Read `vision.md`, `stakeholders.md`, and `glossary.md` from `../project_context/`. Log the absolute path of each file read. If `vision.md` is missing, halt exec",False
01-strategic-vision\03-vision-statement\SKILL.md,167,- [ ] `Vision_Statement.md` exists in `../output/`,False
01-strategic-vision\03-vision-statement\SKILL.md,178,| Upstream | 00-meta-initialization | Requires `methodology.md` in `../project_context/` |,False
01-strategic-vision\04-lean-canvas\README.md,28,| `vision.md` | Yes | `../project_context/` |,False
01-strategic-vision\04-lean-canvas\README.md,29,| `features.md` | Recommended | `../project_context/` |,False
01-strategic-vision\04-lean-canvas\README.md,30,| `stakeholders.md` | Optional | `../project_context/` |,False
01-strategic-vision\04-lean-canvas\README.md,36,| `Lean_Canvas.md` | `../output/Lean_Canvas.md` |,False
01-strategic-vision\04-lean-canvas\README.md,40,1. Verify `../project_context/vision.md` exists. Halt if missing.,False
